Team,Year,Sagarin,Zsagarin,FrNbrRecruits,Fr5star,Fr4star,Fr3star,Fravg,Frpoints,Sonbrrecruits,So5star,So4star,So3star,Soavg,Sopoints,Jrnbrrecruits,Jr5star,Jr4star,Jr3star,Jravg,Jrpoints,Srnbrrecruits,Sr5star,Sr4star,Sr3star,Sravg,Srpoints,Rssrnbrrecruits,Rssr5star,Rssr4star,Rssr3star,Rssravg,Rssrpoints,conference,lysagarin,z_lysagarin,tyasagarin,z_tyasagarin,retoff,retdef,qbret,bowl,bowlwin,coachexp_school,coachexp_total,lindys,BigTen,SEC,BigTwelve,ACC,PacTen,Bigeast,Ind
Stanford,2009,78.89,0.279529017,22,0,8,12,3.27,1583,17,0,2,8,2.71,502,19,0,1,0,2.63,480,18,0,0,10,2.44,409,16,0,4,5,2.81,640,pacten,74.01,-0.264927181,69.05,-0.975419804,8,5,1,0,0,2,5,55,0,0,0,0,1,0,0
Syracuse,2009,67.05,-1.161051047,14,0,0,4,2.29,62,26,0,4,6,2.54,621,27,0,1,13,2.56,679,23,0,2,6,2.43,451,20,0,1,6,2.4,290,Bigeast,62.6,-1.520471946,59.12,-2.120224931,6,7,1,0,0,0,0,85,0,0,0,0,0,1,0
Tennessee,2009,77.96,0.166375347,21,2,9,10,3.62,2037,18,0,4,11,3.06,1027,32,5,11,15,3.63,2726,22,1,4,13,3.09,1245,27,1,16,9,3.63,2403,SEC,71.95,-0.491607481,84.31,0.783867834,7,5,1,0,0,0,0,28,0,1,0,0,0,0,0
Texas,2009,92.39,1.9220823,20,3,11,6,3.85,2375,20,0,12,7,3.55,1919,24,2,16,5,3.79,2562,25,2,11,12,3.6,2283,15,0,9,6,3.6,1409,bigtwelve,93.5,1.879732544,85.14,0.87955648,6,8,1,1,1,11,25,2,0,0,1,0,0,0,0
Texas A&M,2009,71.72,-0.592849282,28,1,4,21,3.14,1403,24,0,7,14,3.17,1482,19,0,4,11,2.89,795,23,0,4,16,2.96,1165,26,1,9,11,3.23,1839,bigtwelve,65.14,-1.240972936,76.41,-0.126903617,9,7,1,0,0,1,7,63,0,0,1,0,0,0,0
Texas Tech,2009,80.25,0.445001052,25,0,5,15,3,1110,16,0,3,10,3,678,26,0,1,17,2.73,469,34,0,4,22,2.88,1194,21,0,1,12,2.67,719,bigtwelve,86.75,1.136969427,81.46,0.455298386,5,6,0,1,0,9,9,26,0,0,1,0,0,0,0
UCLA,2009,75.03,-0.190119551,27,0,11,14,3.33,1752,23,0,12,11,3.52,1924,11,0,6,4,3.27,848,22,0,7,13,3.23,1544,21,1,3,12,3,1107,pacten,66.91,-1.046203941,78.74,0.141716317,7,6,0,0,0,1,9,48,0,0,0,0,1,0,0
Vanderbilt,2009,62.47,-1.718302457,18,0,0,13,2.72,251,21,0,0,4,2.19,80,14,0,1,5,2.5,270,26,0,0,7,2.27,312,24,0,0,2,2.08,70,SEC,76.47,0.00576871,74.19,-0.382841923,8,9,1,1,1,7,15,64,0,1,0,0,0,0,0
Virginia,2009,69.01,-0.922576645,25,0,5,11,2.84,1110,18,0,1,7,2.5,284,24,0,7,11,3.04,1267,24,0,3,10,2.67,757,22,1,5,12,3.14,1417,ACC,74.77,-0.181297556,76.93,-0.066954104,5,5,0,0,0,8,14,67,0,0,0,1,0,0,0
Virginia Tech,2009,87.69,1.350230416,22,0,5,14,3.09,1357,31,0,6,22,3.1,1375,26,1,2,14,2.73,1160,22,0,5,12,3,1122,25,1,5,14,3.08,1581,ACC,82.93,0.716620523,87.84,1.190832798,9,7,1,1,1,22,28,5,0,0,0,1,0,0,0
Wake Forest,2009,72.55,-0.491862673,23,0,0,11,2.48,331,17,0,0,8,2.47,314,20,0,0,6,2.3,90,15,0,0,6,2.4,152,19,0,0,5,2.26,221,ACC,79.43,0.331484092,79.5,0.229334837,8,4,1,1,1,8,14,30,0,0,0,1,0,0,0
Washington,2009,74.34,-0.274072275,19,0,1,15,2.89,286,26,0,5,14,2.92,1255,27,0,3,16,2.81,982,22,0,4,10,2.82,891,13,0,2,3,2.54,216,pacten,56.68,-2.171902709,73.81,-0.426651183,7,7,1,0,0,0,0,79,0,0,0,0,1,0,0
Washington St.,2009,57.16,-2.364373415,22,0,0,12,2.55,120,27,0,0,6,2.15,90,27,0,1,14,2.44,280,23,0,1,11,2.57,569,20,0,0,10,2.5,382,pacten,54.91,-2.366671704,72.29,-0.601888222,7,4,1,0,0,1,9,90,0,0,0,0,1,0,0
West Virginia,2009,78.55,0.238161009,25,0,6,15,3.08,1234,27,0,3,10,2.52,757,28,1,4,16,2.96,1367,16,0,0,10,2.63,431,33,1,0,13,2.48,867,Bigeast,79.27,0.313877855,92.29,1.703862286,7,7,0,1,1,1,4,20,0,0,0,0,0,1,0
Wisconsin,2009,81.21,0.561804841,21,0,5,11,3,923,24,0,3,14,2.83,829,18,1,3,10,3.06,1056,23,0,3,10,2.7,672,23,0,2,13,2.74,767,bigten,71.53,-0.537823852,77.83,0.036804669,5,5,1,1,0,3,3,29,1,0,0,0,0,0,0
Alabama,2010,94.3,1.850706569,26,1,15,9,3.62,2308,27,4,14,9,3.81,2786,32,3,19,8,3.72,2836,25,0,10,12,3.28,1789,23,2,10,11,3.61,2127,SEC,100.25,2.878413323,89.48,1.437375843,8,2,1,1,1,3,14,1,0,1,0,0,0,0,0
Arizona,2010,79.29,0.281722221,23,0,4,16,3.04,1036,24,0,3,17,2.96,830,23,0,5,12,2.96,974,18,0,4,9,2.72,792,25,1,6,17,3.28,1530,pacten,77.64,0.12744075,80.5,0.449225801,9,4,1,1,0,6,6,38,0,0,0,0,1,0,0
Arizona State,2010,81.54,0.51691308,26,0,5,17,3.04,1083,22,1,4,12,2.95,1173,27,0,6,19,3.15,1328,24,0,2,13,2.63,783,24,0,5,15,3.04,1163,pacten,70.11,-0.78873897,71.84,-0.503711768,4,7,0,0,0,3,21,59,0,0,0,0,1,0,0
Arkansas,2010,88.77,1.272659704,25,0,3,18,2.96,766,31,1,8,20,3.26,1678,25,0,6,10,2.88,1015,27,0,4,17,2.93,1083,26,1,4,14,2.96,1172,SEC,82.49,0.717543226,71.22,-0.571935936,9,7,1,1,1,2,6,16,0,1,0,0,0,0,0
Auburn,2010,98.06,2.243736626,32,3,13,13,3.5,2485,28,0,9,16,3.21,1599,29,2,4,16,3.03,1335,30,0,13,15,3.37,2013,25,1,14,7,3.52,2148,SEC,79.43,0.345231149,71.69,-0.520217615,7,7,0,1,1,1,3,27,0,1,0,0,0,0,0
Baylor,2010,71.49,-0.533606087,23,0,4,17,3.09,1025,28,0,3,14,2.71,590,22,0,1,8,2.45,453,29,0,1,12,2.34,274,29,0,0,10,2.34,226,bigtwelve,67.37,-1.122116451,71.06,-0.589542173,7,5,1,0,0,2,7,67,0,0,1,0,0,0,0
Boston College,2010,73.1,-0.365313962,21,0,2,14,2.86,815,17,0,1,6,2.47,260,29,0,3,18,2.83,1081,18,0,2,11,2.83,756,20,0,2,13,2.85,794,ACC,76.14,-0.05506517,78.94,0.277564991,8,6,0,1,0,1,1,36,0,0,0,1,0,0,0
California,2010,78.29,0.177192951,19,2,7,10,3.58,1875,20,0,6,8,2.9,931,21,0,5,12,3.05,1070,26,0,5,18,3,1378,20,0,9,8,3.3,1512,pacten,75.77,-0.100083297,83.58,0.78814586,8,6,1,1,0,8,8,43,0,0,0,0,1,0,0
Cincinnati,2010,68.96,-0.798065141,22,0,1,10,2.55,490,25,0,2,8,2.48,430,24,0,0,6,2.25,230,23,0,0,6,2.26,90,20,0,0,1,1.95,62,Bigeast,86.84,1.246810395,77.89,0.162024062,7,5,0,1,0,0,0,22,0,0,0,0,0,1,0
Clemson,2010,72.82,-0.394582158,23,0,9,13,3.35,1551,12,0,7,4,3.5,1019,26,1,13,8,3.42,2113,23,0,8,12,3.22,1555,20,2,6,10,3.4,1741,ACC,81.54,0.601956143,78.87,0.269862263,7,7,1,1,1,2,2,37,0,0,0,1,0,0,0
Colorado,2010,68.82,-0.812699239,22,0,0,15,2.68,399,19,0,4,8,2.84,744,21,1,7,9,3.24,1510,28,1,2,14,2.68,1081,23,0,0,14,2.61,520,bigtwelve,65.89,-1.302188959,69.36,-0.776608439,9,7,1,0,0,4,9,71,0,0,1,0,0,0,0
Connecticut,2010,72.68,-0.409216256,20,0,0,9,2.45,202,21,0,1,3,2.24,215,22,0,0,3,2.14,194,29,0,1,5,2.24,272,23,0,0,4,2.17,80,Bigeast,79.42,0.344014442,76.4,-0.001934018,8,8,1,1,1,11,11,40,0,0,0,0,0,1,0
Duke,2010,63.61,-1.357296738,20,0,0,10,2.5,314,27,0,2,13,2.63,634,17,0,0,7,2.41,241,21,0,0,4,2.19,138,26,0,1,8,2.38,400,ACC,67.87,-1.061281144,72.35,-0.447591888,8,6,0,0,0,2,8,70,0,0,0,1,0,0,0
Florida,2010,81.34,0.496007226,28,4,18,5,3.89,2938,16,3,9,4,3.94,2017,22,4,12,4,3.82,2600,27,4,16,7,3.89,2959,27,4,17,5,3.89,2901,SEC,95.75,2.330895562,98.74,2.4563368,6,7,0,1,1,5,9,5,0,1,0,0,0,0,0
Florida State,2010,85.19,0.898444916,24,2,8,14,3.5,1953,21,2,10,8,3.62,2154,30,2,13,8,3.33,2251,20,0,7,10,3.2,1394,31,2,18,10,3.68,2703,ACC,78.56,0.239377715,83.18,0.744130268,9,4,1,1,1,0,0,26,0,0,0,1,0,0,0
Georgia,2010,72.77,-0.399808621,19,0,9,9,3.42,1581,19,1,14,4,3.84,2179,24,2,13,8,3.67,2321,23,0,12,10,3.48,1895,28,2,14,12,3.64,2436,SEC,80.08,0.424317047,84.81,0.923493805,10,5,0,1,1,9,9,21,0,1,0,0,0,0,0
Georgia Tech,2010,68.32,-0.864963874,18,0,5,11,3.17,950,21,0,1,17,2.9,732,20,0,1,11,2.65,581,20,0,8,10,3.3,1453,16,0,1,9,2.69,372,ACC,84.6,0.974268221,77.13,0.078394437,6,8,1,1,0,2,13,17,0,0,0,1,0,0,0
Illinois,2010,77.78,0.123883023,21,0,1,11,2.62,367,23,0,7,8,2.78,1092,28,0,6,16,3,1293,23,2,5,11,3,1448,27,0,6,12,2.89,1148,bigten,64.37,-1.487128292,70.07,-0.698480763,5,7,0,0,0,5,8,68,1,0,0,0,0,0,0
Indiana,2010,62.79,-1.443010739,25,0,0,11,2.44,115,19,0,0,13,2.68,455,20,0,0,5,2.15,152,20,0,0,5,2.15,82,20,0,0,5,2.25,85,bigten,63.56,-1.585681489,57.94,-2.033253594,8,4,1,0,0,3,17,62,1,0,0,0,0,0,0
Iowa,2010,82.35,0.601581789,21,0,4,13,3,977,19,0,2,5,2.47,343,24,0,0,13,2.54,428,22,0,5,11,2.95,1167,20,0,2,10,2.7,703,bigten,85.82,1.122706369,81.79,0.591176085,6,8,1,1,1,11,14,10,1,0,0,0,0,0,0
Iowa State,2010,69.25,-0.767751653,28,0,2,16,2.71,472,23,0,1,10,2.52,236,24,0,1,6,2.33,281,25,0,1,0,2.44,343,30,0,0,15,2.5,285,bigtwelve,70.3,-0.765621553,60.47,-1.754854974,9,6,1,1,1,1,1,50,0,0,1,0,0,0,0
Kansas,2010,59.04,-1.834995503,18,0,2,12,2.89,555,25,0,4,19,3.08,1155,20,0,2,18,3.1,899,23,0,1,13,2.57,491,25,0,1,16,2.72,762,bigtwelve,70.88,-0.695052597,78.8,0.262159534,7,6,0,0,0,0,4,52,0,0,1,0,0,0,0
Kansas State,2010,72.15,-0.464616769,17,0,2,12,2.94,458,25,0,0,12,2.48,120,32,0,4,22,2.94,1194,33,0,3,16,2.67,873,31,0,2,12,2.52,675,bigtwelve,69.79,-0.827673566,68.69,-0.850334556,5,6,0,0,0,1,18,57,0,0,1,0,0,0,0
Kentucky,2010,67.62,-0.938134364,26,0,1,18,2.77,742,29,0,3,16,2.69,958,20,0,1,8,2.5,315,29,0,1,9,2.31,452,30,0,3,10,2.53,829,SEC,75.35,-0.151184955,74.41,-0.220911589,5,7,1,1,0,0,0,63,0,1,0,0,0,0,0
Louisville,2010,73.02,-0.373676304,28,0,3,18,2.86,778,26,0,1,8,2.31,214,22,0,1,11,2.59,378,17,1,2,11,3.06,845,25,0,4,15,2.92,975,Bigeast,66.13,-1.272988012,64.95,-1.261880342,9,6,1,0,0,0,0,82,0,0,0,0,0,1,0
LSU,2010,91.16,1.52248466,29,1,15,13,3.59,2255,24,4,11,9,3.79,2581,26,2,11,13,3.58,2134,26,2,19,5,3.88,2695,25,2,12,11,3.64,2238,SEC,84.22,0.928033387,81.96,0.609882712,6,4,1,1,0,5,9,18,0,1,0,0,0,0,0
Maryland,2010,77.85,0.131200072,21,0,4,15,3.1,1058,26,0,6,16,3.08,1266,18,0,6,8,3.11,976,26,1,3,13,2.85,1024,22,1,6,7,3,1149,ACC,63.83,-1.552830423,74.83,-0.174695217,6,5,0,0,0,9,9,76,0,0,0,1,0,0,0
Miami-FL,2010,76.91,0.032942558,29,1,6,18,3.14,1575,19,1,9,8,3.53,1693,33,2,15,8,3.33,2467,19,1,7,8,3.21,1452,22,0,11,8,3.36,1785,ACC,81.72,0.623856854,77.42,0.110305741,6,8,1,1,0,3,3,20,0,0,0,1,0,0,0
Michigan,2010,71.91,-0.489703794,27,0,6,20,3.19,1479,22,1,13,6,3.59,2124,24,0,17,6,3.67,2220,20,2,5,12,3.4,1750,19,2,9,7,3.63,1974,bigten,67.18,-1.145233868,64.28,-1.335606459,7,8,1,0,0,2,18,47,1,0,0,0,0,0,0
Michigan State,2010,79.28,0.280676929,22,1,4,12,3.05,1193,23,0,10,10,3.3,1675,21,0,1,13,2.71,623,23,0,3,12,2.7,808,25,0,7,7,2.84,1112,bigten,73.28,-0.403043125,78.17,0.192834977,7,5,1,1,0,3,6,31,1,0,0,0,0,0,0
Minnesota,2010,63.74,-1.343707932,25,0,2,18,2.88,702,20,0,3,15,3.05,974,30,0,7,18,3.07,1395,24,0,1,9,2.46,406,21,0,0,9,2.33,297,bigten,70.61,-0.727903663,68.46,-0.875643522,9,2,1,1,0,3,3,73,1,0,0,0,0,0,0
Mississippi State,2010,84.81,0.858723794,26,0,5,14,2.92,1032,27,0,7,17,3.15,1332,27,0,4,7,2.56,686,34,0,4,13,2.62,871,24,0,3,10,2.67,595,SEC,76.04,-0.067232231,64.91,-1.266281902,6,6,0,0,0,1,1,56,0,1,0,0,0,0,0
Missouri,2010,83.04,0.673706985,23,0,7,16,3.3,1446,25,1,1,15,2.8,970,23,1,2,16,3,1214,27,0,4,16,2.89,1059,24,0,1,13,2.63,564,bigtwelve,73.42,-0.386009239,82.8,0.702315455,8,8,1,1,0,9,19,34,0,0,1,0,0,0,0
NC State,2010,82.85,0.653846424,19,1,4,9,3.05,1092,27,0,1,19,2.78,618,25,0,6,10,2.88,1151,25,0,2,12,2.64,565,20,0,0,9,2.45,407,ACC,68.85,-0.942043943,73.34,-0.338653298,7,4,1,0,0,3,13,45,0,0,0,1,0,0,0
Nebraska,2010,80.23,0.379979735,21,0,8,10,3.24,1407,20,0,5,15,3.25,1233,28,1,2,20,2.96,1159,27,0,10,16,3.33,1734,22,1,5,15,3.27,1432,bigtwelve,84.06,0.908566089,80.7,0.471233597,8,7,1,1,1,2,2,11,0,0,1,0,0,0,0
North Carolina,2010,76.77,0.01830846,21,0,4,16,3.14,1195,29,1,13,10,3.34,2084,19,0,7,8,3.16,1120,24,2,4,12,3,1510,28,0,6,14,2.93,1148,ACC,78.47,0.228427359,78.88,0.270962653,10,9,1,1,0,3,9,13,0,0,0,1,0,0,0
Northwestern,2010,68.08,-0.890050899,17,0,0,16,2.94,281,18,0,1,10,2.67,471,20,0,0,6,2.3,178,19,0,0,14,2.74,459,17,0,0,4,2.24,123,bigten,70.95,-0.686535654,75.18,-0.136181574,8,6,0,1,0,4,4,55,1,0,0,0,0,0,0
Notre Dame,2010,82.47,0.614125301,23,0,10,12,3.39,1618,18,1,9,5,3.44,1564,23,3,16,4,3.96,2744,18,1,12,4,3.72,1932,28,2,10,15,3.46,2189,Ind,75.31,-0.156051779,73.75,-0.293537316,6,10,0,0,0,0,6,49,0,0,0,0,0,0,1
Ohio State,2010,92.75,1.6886862,19,0,8,9,3.32,1327,25,2,15,8,3.76,2478,20,4,9,7,3.85,2481,15,0,12,3,3.8,1577,20,2,8,10,3.6,2000,bigten,88.35,1.430533021,84.83,0.925694585,9,7,1,1,1,9,9,3,1,0,0,0,0,0,0
Oklahoma,2010,88.72,1.267433241,29,0,16,13,3.55,2213,23,0,11,11,3.43,1830,21,3,12,5,3.81,2422,21,1,9,8,3.38,1704,28,1,13,14,3.54,2180,bigtwelve,83.15,0.797845831,94.15,1.951257881,8,6,1,1,1,11,11,9,0,0,1,0,0,0,0
Oklahoma State,2010,87.57,1.14722458,27,0,5,22,3.19,1170,24,0,5,13,2.96,1049,27,0,6,16,3.04,1211,23,0,4,16,3.04,1143,29,0,6,18,3.03,1330,bigtwelve,77.28,0.083639329,82.16,0.631890508,4,3,0,1,0,5,5,39,0,0,1,0,0,0,0
Ole Miss,2010,65.85,-1.123151172,25,0,8,16,3.28,1554,37,1,8,22,3.11,1628,31,1,2,15,2.71,1165,22,0,6,12,3.09,1203,30,2,7,15,3.17,1718,SEC,82.38,0.704159458,86.28,1.085251106,3,6,0,1,1,2,17,61,0,1,0,0,0,0,0
Oregon,2010,96.98,2.130845014,23,1,10,9,3.39,1851,26,0,4,16,2.92,1126,20,0,8,9,3.25,1356,29,0,12,12,3.24,1760,21,0,1,12,2.67,515,pacten,85.27,1.055787532,85.47,0.996119532,9,8,0,1,0,1,1,15,0,0,0,0,1,0,0
Oregon State,2010,79.99,0.354892711,18,0,4,12,3.11,924,24,0,1,13,2.63,595,18,1,0,10,2.72,450,35,0,2,16,2.51,690,30,0,2,14,2.6,650,pacten,78.35,0.213826886,85.11,0.9565055,8,7,0,1,0,9,9,29,0,0,0,0,1,0,0
Penn State,2010,73.05,-0.370540426,20,0,12,7,3.55,1852,27,0,7,12,2.96,1335,14,0,4,6,3,700,21,0,8,8,3.14,1305,24,1,14,8,3.63,2241,bigten,85.43,1.07525483,88.26,1.303128287,7,5,0,1,1,44,44,24,1,0,0,0,0,0,0
Pittsburgh,2010,78.76,0.226321708,24,0,4,19,3.13,1144,20,0,4,11,2.95,804,19,1,5,9,3.16,1179,24,0,6,13,3.04,1265,26,0,7,14,3.08,1412,Bigeast,83.5,0.840430546,79.03,0.2874685,5,6,0,1,1,5,5,14,0,0,0,0,0,1,0
Purdue,2010,63.19,-1.401199031,24,0,1,13,2.63,564,20,0,1,8,2.5,226,26,0,1,10,2.38,278,19,0,1,11,2.68,371,26,0,1,10,2.38,490,bigten,68.6,-0.972461596,67.89,-0.93836574,6,5,0,0,0,1,6,58,1,0,0,0,0,0,0
Rutgers,2010,64.47,-1.267401565,24,0,2,14,2.75,454,23,0,4,15,3,981,20,0,3,7,2.65,662,23,0,3,15,2.83,950,25,0,2,9,2.52,573,Bigeast,76.98,0.047138145,77.11,0.076193658,6,6,1,1,1,9,9,42,0,0,0,0,0,1,0
South Carolina,2010,81.11,0.471965493,23,1,5,11,3.04,1342,29,0,14,11,3.34,1952,22,0,6,14,3.18,1322,31,1,14,13,3.42,2190,24,0,6,14,3.08,1236,SEC,76.43,-0.019780692,77.06,0.070691709,8,7,1,1,0,5,20,28,0,1,0,0,0,0,0
South Florida,2010,74.43,-0.226290033,20,0,2,13,2.85,464,30,0,6,18,3,1197,24,0,2,9,2.46,391,27,1,0,10,2.48,381,28,0,1,8,2.36,315,Bigeast,77.28,0.083639329,75.67,-0.082262474,10,4,1,1,1,0,10,54,0,0,0,0,0,1,0
Southern Cal,2010,81.93,0.557679495,20,5,14,1,4.2,3003,19,4,11,2,3.89,2410,19,2,13,4,3.89,2312,18,6,10,2,4.22,2761,25,5,14,6,3.96,3018,pacten,81.95,0.651841095,94.85,2.028285167,6,5,1,1,1,0,1,12,0,0,0,0,1,0,0
Stanford,2010,98.05,2.242691333,23,0,5,16,3.13,1314,22,0,8,12,3.27,1583,17,0,2,8,2.71,502,19,0,1,0,2.63,480,18,0,0,10,2.44,409,pacten,78.89,0.279529017,74.01,-0.264927181,8,6,1,1,0,3,6,35,0,0,0,0,1,0,0
Syracuse,2010,73.68,-0.304686985,29,0,1,11,2.38,277,14,0,0,4,2.29,62,26,0,4,6,2.54,621,27,0,1,13,2.56,679,23,0,2,6,2.43,451,Bigeast,67.05,-1.161051047,62.6,-1.520471946,4,7,0,0,0,1,1,78,0,0,0,0,0,1,0
Tennessee,2010,70.71,-0.615138918,25,1,12,9,3.44,2048,21,2,9,10,3.62,2037,18,0,4,11,3.06,1027,32,5,11,15,3.63,2726,22,1,4,13,3.09,1245,SEC,77.96,0.166375347,71.95,-0.491607481,5,6,0,1,0,0,3,46,0,1,0,0,0,0,0
Texas,2010,70.52,-0.63499948,25,2,19,4,3.92,2728,20,3,11,6,3.85,2375,20,0,12,7,3.55,1919,24,2,16,5,3.79,2562,25,2,11,12,3.6,2283,bigtwelve,92.39,1.9220823,93.5,1.879732544,5,7,0,1,0,12,26,4,0,0,1,0,0,0,0
Texas A&M,2010,82.37,0.603672374,24,0,9,13,3.29,1572,28,1,4,21,3.14,1403,24,0,7,14,3.17,1482,19,0,4,11,2.89,795,23,0,4,16,2.96,1165,bigtwelve,71.72,-0.592849282,65.14,-1.240972936,5,8,1,1,0,2,2,30,0,0,1,0,0,0,0
Texas Tech,2010,74.5,-0.218972984,25,0,5,15,3,986,25,0,5,15,3,1110,16,0,3,10,3,678,26,0,1,17,2.73,469,34,0,4,22,2.88,1194,bigtwelve,80.25,0.445001052,86.75,1.136969427,7,6,0,1,1,0,14,32,0,0,1,0,0,0,0
UCLA,2010,71.41,-0.541968429,23,1,12,10,3.61,2105,27,0,11,14,3.33,1752,23,0,12,11,3.52,1924,11,0,6,4,3.27,848,22,0,7,13,3.23,1544,pacten,75.03,-0.190119551,66.91,-1.046203941,7,5,1,1,1,2,10,48,0,0,0,0,1,0,0
Vanderbilt,2010,58.2,-1.92280009,24,0,1,17,2.79,469,18,0,0,13,2.72,251,21,0,0,4,2.19,80,14,0,1,5,2.5,270,26,0,0,7,2.27,312,SEC,62.47,-1.718302457,76.47,0.00576871,7,4,1,0,0,0,0,77,0,1,0,0,0,0,0
Virginia,2010,65,-1.212001052,18,0,1,12,2.78,392,25,0,5,11,2.84,1110,18,0,1,7,2.5,284,24,0,7,11,3.04,1267,24,0,3,10,2.67,757,ACC,69.01,-0.922576645,74.77,-0.181297556,4,7,0,0,0,0,2,74,0,0,0,1,0,0,0
Virginia Tech,2010,86.1,0.993566552,20,0,5,15,3.25,1550,22,0,5,14,3.09,1357,31,0,6,22,3.1,1375,26,1,2,14,2.73,1160,22,0,5,12,3,1122,ACC,87.69,1.350230416,82.93,0.716620523,7,5,1,1,1,23,29,8,0,0,0,1,0,0,0
Wake Forest,2010,61.63,-1.564264693,19,0,1,12,2.74,377,23,0,0,11,2.48,331,17,0,0,8,2.47,314,20,0,0,6,2.3,90,15,0,0,6,2.4,152,ACC,72.55,-0.491862673,79.43,0.331484092,6,6,0,0,0,9,15,65,0,0,0,1,0,0,0
Washington,2010,80.09,0.365345638,31,0,5,24,3.1,1214,19,0,1,15,2.89,286,26,0,5,14,2.92,1255,27,0,3,16,2.81,982,22,0,4,10,2.82,891,pacten,74.34,-0.274072275,56.68,-2.171902709,9,6,1,0,0,1,1,33,0,0,0,0,1,0,0
Washington St.,2010,66.73,-1.031165414,26,0,0,14,2.46,130,22,0,0,12,2.55,120,27,0,0,6,2.15,90,27,0,1,14,2.44,280,23,0,1,11,2.57,569,pacten,57.16,-2.364373415,54.91,-2.366671704,6,6,1,0,0,2,10,95,0,0,0,0,1,0,0
West Virginia,2010,78.03,0.150015341,20,0,5,13,3.15,1281,25,0,6,15,3.08,1234,27,0,3,10,2.52,757,28,1,4,16,2.96,1367,16,0,0,10,2.63,431,Bigeast,78.55,0.238161009,79.27,0.313877855,9,9,0,1,0,2,5,19,0,0,0,0,0,1,0
Wisconsin,2010,86.99,1.086597603,24,0,0,21,2.88,160,21,0,5,11,3,923,24,0,3,14,2.83,829,18,1,3,10,3.06,1056,23,0,3,10,2.7,672,bigten,81.21,0.561804841,71.53,-0.537823852,10,6,1,1,1,4,4,6,1,0,0,0,0,0,0
Alabama,2011,104.17,2.763598952,22,3,14,5,3.91,2632,26,1,15,9,3.62,2308,27,4,14,9,3.81,2786,32,3,19,8,3.72,2836,25,0,10,12,3.28,1789,SEC,94.3,1.856240092,100.25,2.887983524,7,9,0,1,1,4,15,2,0,1,0,0,0,0,0
Arizona,2011,70.52,-0.607046604,21,0,1,15,2.81,435,23,0,4,16,3.04,1036,24,0,3,17,2.96,830,23,0,5,12,2.96,974,18,0,4,9,2.72,792,pacten,79.29,0.277286736,77.64,0.120885962,4,7,1,1,0,7,7,47,0,0,0,0,1,0,0
Arizona State,2011,74.94,-0.164305048,14,0,2,7,2.64,413,26,0,5,17,3.04,1083,22,1,4,12,2.95,1173,27,0,6,19,3.15,1328,24,0,2,13,2.63,783,pacten,81.54,0.51397195,70.11,-0.800664001,8,6,0,0,0,4,22,25,0,0,0,0,1,0,0
Arkansas,2011,91.06,1.45039945,30,0,4,24,3.07,1189,25,0,3,18,2.96,766,31,1,8,20,3.26,1678,25,0,6,10,2.88,1015,27,0,4,17,2.93,1083,SEC,88.77,1.274520435,82.49,0.714447358,6,6,0,1,0,3,7,10,0,1,0,0,0,0,0
Auburn,2011,77.4,0.082107673,24,1,13,10,3.63,2194,32,3,13,13,3.5,2485,28,0,9,16,3.21,1599,29,2,4,16,3.03,1335,30,0,13,15,3.37,2013,SEC,98.06,2.251767382,79.43,0.339952951,4,4,0,1,1,2,4,24,0,1,0,0,0,0,0
Baylor,2011,86.01,0.944552197,19,0,1,16,2.95,628,23,0,4,17,3.09,1025,28,0,3,14,2.71,590,22,0,1,8,2.45,453,29,0,1,12,2.34,274,bigtwelve,71.49,-0.543222003,67.37,-1.135995594,9,6,1,1,0,3,8,34,0,0,1,0,0,0,0
Boston College,2011,64.4,-1.220073374,23,0,4,9,2.74,834,21,0,2,14,2.86,815,17,0,1,6,2.47,260,29,0,3,18,2.83,1081,18,0,2,11,2.83,756,ACC,73.1,-0.373860584,76.14,-0.062689728,6,6,1,1,0,2,2,50,0,0,0,1,0,0,0
California,2011,76.2,-0.038093655,22,0,10,12,3.45,1646,19,2,7,10,3.58,1875,20,0,6,8,2.9,931,21,0,5,12,3.05,1070,26,0,5,18,3,1378,pacten,78.29,0.172093308,75.77,-0.107971732,6,6,0,0,0,9,9,55,0,0,0,0,1,0,0
Cincinnati,2011,78.63,0.205314033,24,0,1,20,2.92,605,22,0,1,10,2.55,490,25,0,2,8,2.48,430,24,0,0,6,2.25,230,23,0,0,6,2.26,90,Bigeast,68.96,-0.809361376,86.84,1.246816858,5,9,1,0,0,1,4,48,0,0,0,0,0,1,0
Clemson,2011,77.78,0.120171427,29,4,6,15,3.34,2173,23,0,9,13,3.35,1551,12,0,7,4,3.5,1019,26,1,13,8,3.42,2113,23,0,8,12,3.22,1555,ACC,72.82,-0.403314743,81.54,0.598182755,8,5,0,1,0,3,3,30,0,0,0,1,0,0,0
Colorado,2011,61.65,-1.495534749,19,0,0,13,2.68,256,22,0,0,15,2.68,399,19,0,4,8,2.84,744,21,1,7,9,3.24,1510,28,1,2,14,2.68,1081,pacten,68.82,-0.824088456,65.89,-1.317123608,8,5,1,0,0,0,0,75,0,0,0,0,1,0,0
